Producto,Cadereyta Precio por unidad,Cadereyta Cantidad ordenada,Coahuila Precio por unidad,Coahuila Cantidad ordenada,Durango Precio por unidad,Durango Cantidad ordenada,Expos F Precio por unidad,Expos F Cantidad ordenada,Laredo Precio por unidad,Laredo Cantidad ordenada,Monterrey Precio por unidad,Monterrey Cantidad ordenada,Online Precio por unidad,Online Cantidad ordenada,Queretaro Precio por unidad,Queretaro Cantidad ordenada,Reynosa Precio por unidad,Reynosa Cantidad ordenada,San Luis Precio por unidad,San Luis Cantidad ordenada,Fecha
Producto 1,0.0,0,4397.01,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-01
Producto 2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5042.24,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-01
Producto 3,0.0,0,5355.439999999998,7,0.0,0,0.0,0,0.0,0,5129.005714285714,24.5,0.0,0,5293.97,3.5,0.0,0,5293.97,3.5,2022-04-01
Producto 4,0.0,0,0.0,0,0.0,0,0.0,0,7165.74,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-01
Producto 5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8016.38,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-01
Producto 6,0.0,0,8215.7,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-01
Producto 7,0.0,0,5737.93,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6750.88,3.5,2022-04-01
Producto 8,0.0,0,7602.589999999999,3.5,7602.589999999999,3.5,0.0,0,8165.74,3.5,0.0,0,0.0,0,7647.25,3.5,0.0,0,0.0,0,2022-04-01
Producto 9,0.0,0,0.0,0,0.0,0,0.0,0,8417.24,3.5,0.0,0,0.0,0,8417.24,3.5,0.0,0,0.0,0,2022-04-01
Producto 10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10504.455,7,0.0,0,0.0,0,11811.11,3.5,11967.52,7,2022-04-01
